Date,AEP,D,DUK,ED,EIX,EXC,KEP,NEE,NGG,PCG,PEG,PPL,SO,SRE,WEC,XEL
2012-05-09,33.224907,44.922985,54.941151,51.398987,39.892757,32.550119,10.15,56.836116000000004,44.227594,38.347117,27.207935,23.239342,38.630705999999996,57.892759999999996,32.553825,23.751792000000002
2012-05-10,33.346609,45.305532,55.42443000000001,51.874342999999996,40.02888,33.076765,10.01,57.66894,44.235741,38.486213,27.6224,23.467925,38.869116999999996,58.596238,32.992047,24.03143
2012-05-11,33.424847,45.401169,55.24638100000001,51.692844,40.282973,33.367554,9.96,57.739821,44.675571000000005,38.407971,27.648305,23.298605,38.775456,58.524085,33.269293,24.03143
2012-05-14,33.259677,45.444639,55.170069999999996,51.531315,40.210377,33.298931,9.69,58.209393000000006,44.121708,38.321037,27.475609999999996,23.180079,38.698824,58.388799,33.314009000000006,24.022691000000002
2012-05-15,32.703321,45.470721000000005,55.144635,51.295573,40.019804,33.015865999999995,9.48,58.156236,43.543409999999994,38.042840999999996,27.320185,22.934564,38.656252,57.946872,33.242459999999994,23.743053
2012-05-16,32.685934,45.653299,55.041702,51.365424,40.092403999999995,32.92151,9.47,58.08535500000001,43.364221,38.103699,27.302916999999997,23.171614,38.639222,57.649243999999996,33.385557,23.987737
2012-05-17,32.538154,45.114259000000004,55.144633999999996,51.129682,39.838311,32.801421000000005,9.91,57.633506000000004,43.168739,37.860278,27.320185,23.129282999999997,38.485959,57.468867,33.072538,23.812963
2012-05-18,32.816332,45.462028000000004,55.22182900000001,51.225722,39.765710999999996,32.501197,9.53,57.589204,43.013984,37.764649,27.354725,23.019225,38.724367,57.216333999999996,32.831067,23.821702
2012-05-21,32.885878000000005,45.409862,55.041702,51.347961,40.346496,31.840708000000003,9.69,57.766399,43.486395,37.938520000000004,26.750295,22.951496,38.74991,57.757474,32.920502,23.874133
2012-05-22,33.085817999999996,45.618524,55.710744999999996,51.540044,40.736712,31.79782,9.63,58.129656999999995,43.038418,38.364504,26.707122,23.129282999999997,38.783969,57.739431999999994,33.28718,24.293591
2012-05-23,32.851105,45.392472999999995,55.582088,51.714667999999996,40.546143,31.574799,9.54,57.536046999999996,43.022128,38.294954,26.508525,22.94303,38.630705999999996,57.198296,33.126199,24.206204999999997
2012-05-24,33.016272,45.644606,56.096736,52.028991,40.700413,31.617687,9.39,57.61578299999999,43.062852,38.129779,26.48262,23.205477,38.826541,57.76649499999999,33.358725,24.276115
2012-05-25,33.233599,45.688076,56.508451,52.046453,40.836535999999995,31.651999,9.36,57.881581999999995,43.698168,38.025457,26.309925,23.298605,38.903172999999995,58.03706,33.537593,24.293591
2012-05-29,33.442234,45.644606,56.55992,52.352043,40.963582,31.703464,9.52,58.156236,43.567847,38.121083,26.577602000000002,23.374799,39.056436,58.379785,33.653857,24.354763000000002
