Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-07-15,306.570007,101.589996,48.104634999999995,48.059864000000005,42.513209,24.206392,15.97,63.93675699999999,462.80780599999997,26.58,911.659973,31.486657,25.253949,56.307683999999995,26.713704999999997,45.088322999999995
2013-07-16,306.869995,105.690002,47.520817,48.023210999999996,42.359140999999994,24.001015,15.78,63.063965,460.26526500000006,25.860001,902.0499880000001,31.778940000000002,24.946335,56.188504,26.622994,45.377119
2013-07-17,308.690002,108.529999,47.24281,48.463034,42.243587,24.01035,15.66,63.383990000000004,459.73474699999997,26.1,906.679993,31.849794,25.551637,56.500209999999996,26.586715,45.792266
2013-07-18,304.109985,111.199997,46.955534,48.169819,42.696164,24.141046,15.69,63.830082,455.795813,26.25,899.599976,31.654942,25.601251,57.068598,26.414368,45.09735
2013-07-19,305.230011,111.08000200000001,47.826627,48.261447,42.917637,24.103704,15.72,63.190039,448.74875499999996,26.360001,896.2899779999999,31.716941,25.3631,56.628549,26.786272999999998,45.0793
2013-07-22,303.480011,110.010002,48.790389000000005,48.957836,43.264291,24.01035,15.51,62.453014,455.80582300000003,26.709999,900.4799800000001,31.513231,25.462329999999998,57.041095,26.858840999999998,45.368096
2013-07-23,301.059998,109.839996,48.401176,49.370171,43.466505,23.860985999999997,15.6,62.501498,452.352362,26.889999,895.7899779999999,31.716941,25.779865,57.609491000000006,27.067465999999996,45.44932
2013-07-24,298.940002,113.370003,48.438245,48.673782,43.293178000000005,23.888992000000002,15.36,62.685756000000005,451.901892,26.690001000000002,894.0200199999999,31.353803999999997,25.898941,57.114437,26.858840999999998,45.46737
2013-07-25,303.399994,125.849998,47.743225,48.976162,42.532465,23.804975,15.32,62.59848,444.294287,26.440001000000002,912.0,31.406944,26.206552,57.490314,26.994899,45.765189
2013-07-26,312.01001,127.559998,48.299239,48.912022,42.108778,23.804975,15.1,63.01548100000001,443.118139,25.34,900.080017,31.530942,26.137092000000003,57.77451,27.058397999999997,46.044962
2013-07-29,306.100006,129.330002,47.826627,48.582153999999996,41.791014000000004,23.646275,15.03,62.656664,441.57657400000005,25.24,888.1099849999999,31.778940000000002,26.067632,57.297796,27.103754,46.469133
2013-07-30,302.410004,131.690002,48.197303000000005,48.673782,41.126593,23.963675,15.06,62.239664000000005,445.90592000000004,25.209999,886.8599849999999,31.371515000000002,26.256166999999998,56.903586,27.013042,45.503467
2013-07-31,301.22000099999997,132.309998,47.928564,48.490522,43.408731,23.888992000000002,15.27,62.69545600000001,444.319311,25.18,875.669983,31.238661999999998,26.891238,57.077768000000006,27.167245,44.655128999999995
2013-08-01,305.570007,134.929993,48.067566,49.186911,44.140553999999995,24.16905,15.41,63.383990000000004,452.562567,25.92,904.349976,31.637228000000004,26.901161,57.811179,27.530083,45.133447
