Date,CCL,CUK,F,GM,HD,HMC,JCI,LOW,LUV,LVS,MCD,SBUX,TGT,TJX,TM,WMT
2011-03-03,35.66811,38.133662,13.139120000000002,30.937478999999996,33.686282,43.581732,36.704446999999995,24.122705,11.467941999999999,36.84256,65.410595,15.442373000000002,46.052731,24.112012,92.190002,46.153079
2011-03-04,35.034434999999995,37.225296,12.836457000000001,30.338025,33.390240000000006,42.795488,37.355525,24.085987,11.487413,36.682888,65.230425,15.493832000000001,45.672495,23.941610999999998,90.989998,46.206323
2011-03-07,34.661174,36.828437,12.471482,29.691739000000002,33.076251,41.402145000000004,37.093284999999995,23.865689,11.458208,35.455921000000004,65.45349499999999,15.718379999999998,45.362999,23.345198999999997,89.019997,46.161955
2011-03-08,35.485821,37.701526,12.880967,30.64712,33.45561,41.571338,37.337439,24.425615,12.324631,35.565172,64.810028,15.910182,45.548695,23.435133999999998,89.989998,46.534656
2011-03-09,35.798319,38.116023999999996,12.720733000000001,30.206895000000003,34.024640999999995,41.262811,38.018281,24.618376,11.983903,35.472729,65.015936,16.158122,45.663651,23.473001999999997,89.540001,47.066352
2011-03-10,35.112559999999995,37.26939,12.515991,29.429477000000002,33.482704999999996,40.536284,37.53715,24.489869,12.168869,33.523032,65.788098,17.762707000000002,45.239202,23.416201,87.519997,47.048483000000004
2011-03-11,34.669853,36.898990999999995,12.783046,29.907166999999998,33.545931,39.550995,37.001553,24.728526000000002,12.383042,33.665898999999996,65.830998,17.103096,45.56638,23.558203,85.650002,46.994865000000004
2011-03-14,34.600411,36.555048,12.729635,29.588707,33.130446,37.988458,36.865387,24.609196,12.071518,32.455740000000006,64.92156,16.714814,45.159618,23.373601,81.730003,46.753591
2011-03-15,33.949375,35.717234999999995,13.059004,30.300558000000002,32.778188,38.844367999999996,36.2027,24.453151000000002,12.052048,31.884277,64.449688,16.710137,44.965077,23.231599,81.389999,46.521254
2011-03-16,33.69764,35.055805,12.622813,29.766671000000002,32.227216999999996,37.172358,35.322140999999995,23.865689,11.701585000000001,31.270795,62.956839,16.373314,44.797067,22.999660000000002,80.410004,45.9136
2011-03-17,33.949375,35.57613,12.694028,29.448209999999996,32.299474,38.675179,36.120998,23.939122,11.536089,31.321219,62.974002,16.415417,44.549473,23.037526999999997,82.059998,45.904662
2011-03-18,34.40076,35.76133,12.898769999999999,29.832235999999998,32.51625,39.232513,35.857738,24.049272,11.876816,30.539659000000004,62.622236,16.354601000000002,44.204609000000005,23.032794,81.559998,46.038705
2011-03-21,35.598665000000004,36.793163,12.987789,29.298346999999996,32.904639,39.750040000000006,36.729217,24.15942,11.954697,32.514567,63.282867,16.518335,44.84128,23.321533,83.75,46.396146
2011-03-22,33.992776,35.267464000000004,12.765243,28.792556,32.778188,38.585607,36.257165,24.27875,11.993637,32.027144,63.377242,16.349923999999998,44.655584000000005,23.127463,83.0,46.467636
2011-03-23,33.810487,35.426204,12.738536999999999,29.185948,33.076251,38.068079,36.402411,24.756062,12.090989,32.800298,63.943490000000004,17.16391,44.425676,23.449335,82.139999,46.145936999999996
2011-03-24,33.879929,35.443843,13.388372,29.401377,33.744642999999996,37.819268,37.455449,25.040616,12.20781,35.245824,64.286674,17.580262,44.752855,23.818541,81.190002,46.994865000000004
2011-03-25,33.662917,35.29392,13.361666,29.476309000000004,33.798834,36.63493,37.582542,24.958004000000003,12.344101,35.766866,64.56121999999999,17.262151,44.169237,23.738073999999997,80.760002,46.780398
