Date,BA,CNI,DE,EMR,ERJ,GD,GE,HON,NJ,NOC,NSC,PHG,RTN,UNP,UPS,UTX
2013-04-05,81.033311,46.529457,80.25654200000001,51.30526,33.530781,65.28380200000001,21.063370000000003,69.033027,6.975,67.43319699999999,69.244567,26.486988,54.52926899999999,65.51406899999999,77.45105500000001,87.136966
2013-04-08,81.578739,46.500588,81.00590600000001,51.544619,33.83051,64.833314,21.237904,69.572199,6.78,67.583973,70.02510500000001,26.405822999999998,54.594876,66.02479,77.163653,88.143405
2013-04-09,82.011317,46.481341,81.19324300000001,52.041742,34.603999,65.06794599999999,21.182787,69.562738,6.895,67.43319699999999,69.114478,26.694411,54.323071999999996,66.076808,77.460329,88.839445
2013-04-10,82.58495400000001,46.97214,81.586656,52.548077,35.029416999999995,65.7208,21.660456,70.385688,7.495,67.631085,70.461834,27.262567999999998,54.566759999999995,66.819247,78.39670799999999,89.526085
2013-04-11,83.25263000000001,47.049125,82.036275,52.152217,35.039088,67.49013599999999,21.669643,70.659998,7.615,68.27187099999999,70.79634899999999,27.641340000000003,54.744836,66.86653199999999,78.174203,90.128067
2013-04-12,83.59116999999999,47.034690999999995,80.687424,51.397321999999996,34.439631,66.79943,21.550224,70.234338,7.35,67.951482,71.372454,26.982999,54.67922900000001,66.805061,78.007322,90.005792
2013-04-15,81.597543,46.144521000000005,77.699345,49.335167999999996,32.612262,64.51916999999999,20.953138,68.29520500000001,7.16,66.745299,68.86359499999999,26.450914,53.835701,64.199437,76.40342,87.964689
2013-04-16,81.71039300000001,46.697871,77.914789,50.053238,32.766959,64.708401,21.219531,69.222207,7.22,67.17877,70.499003,26.865759999999998,53.78884,66.020064,77.154379,88.895886
2013-04-17,81.522318,45.745146000000005,77.334032,49.325963,31.277990999999997,62.853913,20.907208999999998,68.00197299999999,7.28,66.076245,68.491911,25.69337,53.123392,64.75745,76.50539599999999,87.334491
2013-04-18,80.986296,45.470877,77.343401,49.086604,31.606724,62.437597,20.824536,67.60469,7.245,65.840662,68.631293,25.648278,52.692257,67.367801,76.366334,86.11171800000001
2013-04-19,82.716608,46.173390000000005,78.177065,49.233901,32.718617,63.393228,19.979429,70.168124,7.365,66.88665,69.458288,25.52202,53.563901,68.970895,76.94114,87.682514
2013-04-22,81.75741500000001,45.788453999999994,78.514278,49.519289,32.186844,62.79714499999999,19.611991,70.55594599999999,7.52,66.69818000000001,69.74634,24.241410000000002,53.367076000000004,69.722787,77.19146500000001,88.068156
2013-04-23,82.92349499999999,45.480499,79.41351,50.301801,33.463101,63.487843999999996,19.749779999999998,70.716758,7.76,67.367234,70.471121,24.475888,53.78884,69.718053,77.636475,87.37211500000001
2013-04-24,85.415527,45.875060999999995,79.731992,50.890987,33.646803999999996,67.868604,20.172333,70.782972,8.195,69.51574699999999,69.616251,24.863678,54.482406999999995,69.656583,77.41396999999999,86.534984
2013-04-25,86.20545,46.130086,80.584386,50.992253999999996,32.97,69.571702,20.163148,70.49919399999999,8.23,70.194226,70.471121,24.998954,55.578989,70.09164,79.19402600000001,86.63845
2013-04-26,87.31511,46.130086,80.07856600000001,50.11768,31.703412,69.35408699999999,20.401981,69.903269,8.34,69.95864399999999,70.210944,24.9719,56.422516,69.76061899999999,79.46289,85.735478
2013-04-29,86.421743,46.596821000000006,83.20715200000001,50.918608,31.655070000000002,69.33516,20.457098000000002,69.808678,8.37,70.637123,71.17732099999999,25.062084,56.909887,69.713327,79.98207099999999,86.17756
2013-04-30,85.960954,47.145362,83.647402,51.102726000000004,33.772496999999994,69.978554,20.47547,69.562738,8.47,71.37214,71.93927099999999,24.890734,57.528473,69.968691,79.583412,85.867161
2013-05-01,85.744662,46.452471,82.214244,49.988796,33.163373,69.80824399999999,20.346866000000002,68.60736,8.375,71.287334,70.33064399999999,24.674293,57.790902,68.88577099999999,78.637759,85.641419
2013-05-02,86.713261,47.015443,83.872208,51.369702000000004,33.03768,70.451638,20.503027,69.969482,8.39,71.90926800000001,71.518412,25.035028,58.578193000000006,69.595105,79.110589,86.299835
2013-05-03,88.152055,47.539924,84.808909,52.308718,33.936862,71.189647,20.732676,71.170794,8.5,72.408703,72.771641,25.485947,59.084309999999995,70.663832,79.81519,87.579048
2013-05-06,88.575234,48.107709,85.36156,52.75060799999999,33.279395,71.199111,20.741862,71.96536800000001,8.535,72.616017,72.780996,25.485947,59.028073,71.595424,80.695952,87.93647299999999
2013-05-07,89.139466,48.564822,85.923586,52.069363,34.135201,71.1518,20.833722,72.74101999999999,8.645,72.757368,73.332796,24.992634,59.477953,72.692531,82.197879,88.293904
2013-05-08,88.888977,48.91608,86.504336,52.630928000000004,34.774871999999995,71.35995799999999,21.136858,73.289653,9.025,73.313347,73.978112,25.357012,59.19677900000001,73.477528,82.540906,88.773604
2013-05-09,89.427755,48.646621,86.354467,53.128055,35.017171999999995,71.199111,20.925582000000002,73.573424,8.84,73.181421,73.501134,25.254239000000002,59.477953,72.668885,82.372862,89.131036
2013-05-10,89.078019,48.69955,86.457505,53.358206,34.270888,71.624884,21.035812,73.535586,8.565,73.435847,73.89394300000001,26.141827,60.237124,72.96680699999999,82.475553,89.591926
2013-05-13,89.56954,48.603317,86.71978,53.229321999999996,34.658565,71.1518,20.989883,73.64909899999999,8.46,73.087182,73.323441,26.1792,59.918463,72.777647,82.19547299999999,89.309744
2013-05-14,90.84559300000001,49.065243,87.83445,54.315635,34.600415999999996,72.51428299999999,21.136858,74.878794,8.61,74.406447,74.866602,26.786496999999997,60.583909999999996,74.21523499999999,82.531575,90.231533
2013-05-15,91.705744,48.829469,83.965877,54.232202,34.978403,72.4859,21.348133999999998,75.56930899999999,8.59,74.849343,75.156526,27.038759999999996,61.643001,74.730682,82.718295,90.62406899999999
2013-05-16,91.28985,48.911266999999995,83.731702,53.796489,34.939634000000005,72.0412,21.375693,74.856215,8.6,74.46298399999999,74.19322199999999,27.029417,61.521161,74.262519,82.018084,90.018711
2013-05-17,93.501673,49.411688,81.464887,55.029462,35.860374,74.075461,21.550224,76.776821,8.62,77.450179,75.034947,26.758468,62.692725,75.619716,82.811655,92.080714
2013-05-20,93.31263100000001,49.459804999999996,82.467157,54.973838,35.598690000000005,74.368771,21.65127,76.567645,8.75,76.903625,75.053649,26.590293,62.589627,75.487308,82.67161899999999,91.967214
2013-05-21,93.340986,49.580098,82.045637,54.491772999999995,36.451586,73.782152,21.733944,76.206344,8.82,76.762274,74.801135,26.9827,62.570885,74.934028,82.886346,92.26989300000001
